DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
245,9,5.159,4.815732,3.79856,4.74073639,2.422,4.9403,7.123874
246,9,4.9979,4.850135,4.376176,4.749321709,3.018,4.926904,7.152501
247,9,3.6946,4.884593,3.8673743,3.58472329,3.017,3.650648,7.180999
248,9,4.1953,4.988151,4.4531484,3.941921459,3.017,4.090916,7.2093604
249,9,4.3133,5.033835,3.9533247,4.019958412,2.909,4.17764,7.2375737
250,9,5.1025,4.776104,3.970543,4.727025813,2.855,4.948364,7.2656333
251,9,4.9506,4.593762,4.568129,4.573856961,2.851,4.767652,7.2935283
252,9,5.233,4.728453,4.039064,4.758039129,2.687,5.006212,7.321252
253,9,5.6646,5.279783,4.644408,5.183019741,2.54,5.40398,7.3487964
254,9,5.4301,5.100927,4.1073574,4.991748438,2.88,5.194016,7.6309346
255,9,5.7269,5.475527,4.720231,5.289858758,2.749,5.496224,7.66013
256,9,5.0346,5.512335,3.6097202,4.688455546,3.261,4.910424,7.6891157
257,9,4.4112,5.505989,4.7952817,4.119119669,3.258,4.295672,7.1917827
258,9,4.803,5.363455,4.259688,4.48341485,3.167,4.64306,7.21749
259,9,4.8484,5.354527,4.275688,4.59000377,3.323,4.708136,7.242989
260,9,4.6761,4.678039,4.9065273,4.40854626,3.277,4.520664,7.269767
261,9,4.693,5.025442,4.3403306,4.41879058,3.289,4.53706,7.294941
262,9,4.9694,5.293548,4.97787,4.73732369,3.513,4.866552,7.319896
263,9,3.3867,5.637136,4.4055454,3.32429547,3.137,3.37486,7.3446274
264,9,3.6456,5.238262,5.0495034,3.46724882,3.13,3.559196,7.369134
265,9,4.5834,5.270237,4.469664,4.32809936,3.412,4.472024,7.39341
266,9,5.198,5.302039,5.120042,4.91446284,3.47,5.081052,7.4174575
267,9,3.5199,5.253904,4.550391,3.44284805,3.212,3.489972,7.441272
268,9,3.6853,5.380729,4.5639824,3.58764496,3.268,3.647808,7.464852
269,9,4.0226,5.780777,4.6124136,3.8340138,3.34,3.936572,7.4881973
270,9,5.3281,6.064104,4.6253696,4.98004604,3.565,5.168092,7.5113047
271,9,4.331,6.098701,5.2903813,4.22067334,3.655,4.289052,7.5341763
272,9,4.3959,6.350005,4.6854893,4.274845,3.7,4.351008,7.5568086
273,9,4.0451,6.090918,5.3558867,3.9546641,3.576,4.015664,6.971117
274,10,4.8748,5.893092,4.744207,4.65856516,3.864,4.779068,7.9916733
275,10,4.7189,5.965586,5.4197266,4.48219377,3.707,4.605724,8.235008
276,10,4.3001,6.034535,4.819125,4.1649966,3.671,4.234596,8.258674
277,10,4.0302,5.895108,4.829582,3.83056175,3.459,3.924504,8.282105
278,10,5.0344,5.616656,4.874943,4.84887353,3.898,4.96024,8.305302
279,10,5.1426,5.533944,4.8846313,4.9237646,4.028,5.042196,8.328266
280,10,4.0938,5.638632,5.571774,4.02038432,3.767,4.073868,8.350998
281,10,4.4445,6.942081,4.9380186,4.2955039,3.775,4.379704,8.373501
282,10,4.6612,6.500891,5.6293564,4.46269628,3.783,4.56612,8.395774
283,10,5.8079,6.92991,5.657449,5.56175208,4.142,5.680032,8.417823
284,10,4.9378,7.001915,5.0150786,4.77758999,4.192,4.862128,8.4396455
285,10,5.5028,6.873189,5.7122275,5.34829976,4.24,5.467936,8.461246
286,10,4.6876,6.671543,5.0643667,4.61579807,4.152,4.674892,8.499684
287,10,4.9459,5.887217,5.7649756,4.77757793,4.204,4.869172,8.522012
288,10,4.2277,6.731192,5.1118403,4.13027714,3.858,4.18376,8.544171
289,10,4.3433,6.771119,5.134935,4.26864513,4.005,4.32072,7.873377
290,10,4.0653,7.105599,5.1751777,3.96186728,3.662,4.01804,7.8733145
291,10,4.6992,6.634145,5.1798364,4.5948575,4.126,4.6674,7.8937246
292,10,4.7016,6.946207,5.888191,4.5932878,4.179,4.662712,7.912531
293,10,5.269,6.949142,5.2229844,5.125513,4.469,5.210676,7.931162
294,10,5.2615,6.903367,5.2438125,5.098061874,4.363,5.192,7.949621
295,10,4.8119,6.931199,5.2817114,4.6917013,4.17,4.773008,7.967911
296,10,5.0769,7.062075,5.284143,4.9325833,4.121,5.028912,7.986032
297,10,4.4198,6.67157,5.998599,4.330548,3.993,4.3876,8.0039854
