WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
1141.313111,793.355533,720.808964,1490.793104,4991.748438,254
3720.10608,2160.39319,996.50858,2826.38351,5289.858758,255
4269.49209,2831.93224,1030.8925,2662.46451,4688.455546,256
5252.12652,2910.00772,1071.35533,3545.63051,4119.119669,257
3992.17832,1497.70697,922.98713,3343.9885,4483.41485,258
1136.01481,885.98031,502.42957,652.94491,4590.00377,259
3418.78028,1861.85435,881.6547,2382.54301,4408.54626,260
3401.47568,1924.62828,857.76318,2336.64267,4418.79058,261
3901.70475,2324.31141,990.91213,2570.29601,4737.32369,262
4830.86842,2430.07524,960.56707,3017.15605,3324.29547,263
5559.03703,2822.41861,972.32983,3350.85954,3467.24882,264
5142.64702,2498.28747,949.27508,3224.12866,4328.09936,265
1903.7337,1556.42376,690.02603,992.84342,4914.46284,266
2166.96064,989.93702,702.78182,1502.23406,3442.84805,267
3326.7217,1771.18443,816.4824,2061.1737,3587.64496,268
671.81992,416.55773,403.15559,738.16666,3834.0138,269
3939.3919,1776.11467,790.6724,2295.4517,4980.04604,270
3107.4094,1426.34627,675.7064,1998.5596,4220.67334,271
621.7191,330.89588,293.036476,449.886336,4274.845,272
3778.4872,1924.6415,749.0272,2256.3336,3954.6641,273
2558.77652,844.01827,686.22366,2299.34007,4658.56516,274
1901.59121,695.97012,664.38044,2141.34061,4482.19377,275
239.29649,233.83763,226.82443,231.41502,4164.9966,276
4412.5634,1446.0449,714.2309,2689.65869,3830.56175,277
1900.11989,566.66312,450.07426,1407.40131,4848.87353,278
2818.2577,1289.1912,571.19097,1487.63021,4923.7646,279
2699.8831,1371.6829,688.5364,1283.23252,4020.38432,280
4581.6255,1677.7904,748.16802,2351.37534,4295.5039,281
4907.39997,1424.5421,650.20339,2910.50637,4462.69628,282
4056.16467,1244.21401,709.8386,2208.82988,5561.75208,283
2928.60592,1031.19145,576.97483,1826.40404,4777.58999,284
3409.52709,1176.50536,585.37637,1601.88781,5348.29976,285
2020.55786,750.11977,555.17775,1519.16082,4615.79807,286
2345.39655,865.63768,512.08272,1430.87638,4777.57793,287
3513.20053,953.55207,533.43316,1784.96528,4130.27714,288
2402.9245,926.06832,537.05638,1330.0642,4268.64513,289
1865.00699,652.23444,535.24457,1631.15106,3961.86728,290
2123.11047,896.83331,663.27762,1421.31878,4594.8575,291
506.921742,409.600703,215.958419,236.074523,4593.2878,292
1096.29403,629.5605192,344.4818362,499.4756,5125.513,293
1996.11863,836.0657,425.11534,1065.07776,5098.061874,294
1180.658319,457.993029,297.230993,903.423328,4691.7013,295
2441.161383,864.572815,499.901304,1370.719378,4932.5833,296
4725.03985,1218.943205,581.973326,2411.377752,4330.548,297
761.7313,410.6334,277.62109,409.11665,4248.9491,298
1751.5564,585.025,421.4067,1386.25253,5054.502355,299
2558.8536,817.0286,474.4917,1483.4062,4928.4251,300
4329.5443,1094.6144,497.4068,2027.5159,5389.7298,301
3683.2501,1018.6201,512.2017,1738.3984,5668.2432,302
282.1838,239.9642,209.81267,243.1201,5192.4113,303
1164.81207,360.89904,357.4418,1131.708,4855.192,304
2151.7729,979.14263,476.26678,887.48206,4769.1398,305
2077.45875,766.39002,370.49474,858.40346,5421.4201,306
1485.25428,687.49626,323.44302,659.32287,5453.333,307
3529.12904,895.72738,436.89085,1379.35814,4432.609128,308
2892.10092,929.64974,426.86474,1178.2216,4278.723851,309
3721.57436,982.51279,410.62572,1447.84856,3709.5426,310
1653.75141,716.30761,432.52225,755.04721,4696.7469,311
455.49203,260.29436,219.76094,360.50837,4525.073983,312
1704.79159,564.60273,369.27218,701.61671,5463.799283,313
1274.28677,593.02911,250.13282,483.45867,5257.251725,314
1629.09045,623.58135,307.16888,688.64221,4837.572282,315
1734.61005,613.44369,382.20217,782.5807,4189.028167,316
3043.80695,897.55974,364.93175,1048.53819,4779.3664,317
686.157741,233.561993,207.228394,451.840235,4372.2888,318
373.1595708,276.6733084,223.0505794,260.6036022,5065.1121,319
