,G_Dh
2171,210.969
2172,215.676
2173,189.01
2174,156.646
2175,120.805
2176,79.009
2177,26.149
2178,0.14
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,12.57
2190,62.265
2191,110.708
2192,148.907
2193,178.93
2194,199.181
2195,189.642
2196,193.071
2197,174.88
2198,146.091
2199,118.899
2200,77.701
2201,30.034
2202,0.282
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0.006
2213,15.334
2214,67.095
2215,115.408
2216,154.356
2217,186.601
2218,205.323
2219,199.857
2220,207.254
2221,197.401
2222,166.663
2223,138.172
2224,84.843
2225,29.686
2226,0.322
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0.014
2237,14.855
2238,65.696
2239,108.393
2240,153.897
2241,199.908
2242,218.575
2243,224.904
2244,211.522
2245,197.895
2246,159.924
2247,127.285
2248,80.905
2249,27.646
2250,0.466
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0.02
2261,12.693
2262,52.823
2263,96.688
2264,141.503
2265,174.405
2266,196.319
2267,202.283
2268,202.135
2269,197.447
2270,156.771
2271,116.808
2272,72.848
2273,27.816
2274,0.909
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0.02
2285,14.664
2286,62.415
2287,107.817
2288,149.039
2289,184.362
2290,207.418
2291,228.622
2292,221.929
2293,180.952
2294,161.281
2295,119.218
2296,74.162
2297,27.128
2298,0.844
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0.059
2309,21.121
2310,71.753
2311,111.094
2312,158.84
2313,178.43
2314,201.571
2315,214.066
2316,212.022
2317,194.434
2318,157.528
2319,122.875
2320,84.842
2321,34.142
2322,1.366
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0.072
2333,20.846
2334,74.697
2335,130.733
2336,160.981
2337,208.987
2338,207.877
2339,226.777
2340,229.02
2341,205.651
2342,181.056
2343,129.283
2344,87.887
2345,38.251
2346,1.838
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0.117
2357,22.446
2358,74.854
2359,125.299
2360,168.283
2361,199.206
2362,207.928
2363,229.476
2364,227.269
2365,220.695
2366,171.476
2367,132.946
2368,90.966
2369,41.319
2370,2.092
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0.317
2381,25.354
2382,80.187
2383,125.585
2384,159.23
2385,196.877
2386,221.349
2387,237.305
2388,228.643
2389,184.42
2390,157.316
2391,111.121
2392,78.805
2393,37.247
2394,2.621
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0.241
2405,23.526
2406,70.413
2407,115.181
2408,152.465
2409,184.078
2410,222.118
2411,234.137
2412,229.748
2413,194.476
2414,153.052
2415,119.692
